Per call time  -  Saturday 12 @ 14:03

  calls      time  function
    255    0.0000  {method 'format' of 'str' objects}
   1718    0.0000  configparser.py:852(optionxform)
     15    0.0000  {built-in method nt._path_exists}
    492    0.0000  __init__.py:1607(to_normalized_pos)
    920    0.0000  wm_pen.py:99(update)
    106    0.0000  <frozen importlib._bootstrap>:1240(_find_spec)
     90    0.0000  <frozen importlib._bootstrap_external>:751(_compile_bytecode)
   2059    0.0000  {built-in method builtins.min}
   2862    0.0000  {method 'endswith' of 'str' objects}
   1550    0.0000  __init__.py:725(_get_system_size)
    842    0.0000  resources.py:50(resource_find)
    558    0.0000  cache.py:115(get)
    178    0.0000  _compiler.py:243(_optimize_charset)
    138    0.0000  image.py:269(get_norm_image_size)
   1198    0.0000  encoder.py:334(_iterencode_dict)
     19    0.0000  buttons.py:160(__init__)
    121    0.0000  widget.py:1091(to_widget)
   1421    0.0000  {method 'popleft' of 'collections.deque' objects}
    149    0.0000  {built-in method __new__ of type object at 0x00007FFCAB0748F0}
   2578    0.0000  {method 'items' of 'dict' objects}
     60    0.0000  select_date_widgets.py:63(__init__)
     17    0.0000  scrollview.py:877(on_scroll_move)
   2116    0.0000  _parser.py:168(__getitem__)
     14    0.0000  widget.py:603(on_touch_up)
    103    0.0000  text_sdl2.py:43(_render_begin)
     97    0.0000  buttons.py:75(_update_image)
   3383    0.0000  _parser.py:240(__next)
    456    0.0000  __init__.py:1678(on_motion)
    180    0.0000  <frozen importlib._bootstrap_external>:482(cache_from_source)
    102    0.0000  dampedscroll.py:59(update_velocity)
    492    0.0000  motionevent.py:363(depack)
   2267    0.0000  _parser.py:261(get)
     53    0.0000  __init__.py:503(__init__)
   2153    0.0000  {method 'copy' of 'dict' objects}
    920    0.0000  wm_common.py:72(<lambda>)
    103    0.0000  layout.py:70(__init__)
    250    0.0000  parser.py:353(create_missing)
    108    0.0000  <frozen importlib._bootstrap>:304(acquire)
     46    0.0000  image.py:350(set_texture_from_resource)
     19    0.0000  _logger.py:1931(_log)
     52    0.0000  <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    103    0.0000  text_sdl2.py:49(_render_end)
     52    0.0000  textinput.py:2675(_create_line_label)
   2493    0.0000  {method 'rstrip' of 'str' objects}
    509    0.0000  __init__.py:386(resolve_font_name)
    103    0.0000  __init__.py:653(render_lines)
    920    0.0000  ignorelist.py:36(process)
    342    0.0000  base.py:133(ensure_window)
     56    0.0000  widget.py:1585(dec_disabled)
     13    0.0000  textinput.py:2191(_refresh_text)
    190    0.0000  boxlayout.py:325(add_widget)
     14    0.0000  widget.py:572(on_touch_down)
     25    0.0000  {method 'flush' of '_io.TextIOWrapper' objects}
    109    0.0000  _parser.py:178(getwidth)
    466    0.0000  mouse.py:397(begin_or_update_hover_event)
     11    0.0000  textinput.py:3093(_refresh_hint_text)
    113    0.0000  motionevent.py:508(pop)
      1    0.0000  atlas.py:193(_load)
      2    0.0000  __init__.py:120(dump)
     27    0.0000  {built-in method builtins.compile}
     52    0.0000  {built-in method builtins.exec}
    953    0.0000  {method 'rpartition' of 'str' objects}
    897    0.0000  widget.py:1256(get_center_x)
    370    0.0000  _parser.py:312(_class_escape)
     90    0.0000  <frozen importlib._bootstrap_external>:1183(get_data)
      9    0.0000  scrollview.py:979(on_scroll_stop)
    108    0.0000  <frozen importlib._bootstrap>:426(_get_module_lock)
    277    0.0000  textinput.py:674(cursor_offset)
      7    0.0000  __init__.py:355(namedtuple)
     13    0.0000  enum.py:528(__new__)
    211    0.0000  cache.py:63(append)
    132    0.0000  dampedscroll.py:94(on_value)
     85    0.0000  buttons.py:202(_update)
    114    0.0000  motionevent.py:500(push)
    501    0.0000  base.py:310(_dispatch_input)
     12    0.0000  buttons.py:118(__init__)
    286    0.0000  label.py:361(_trigger_texture_update)
     12    0.0000  containers.py:231(__init__)
    102    0.0000  <frozen importlib._bootstrap>:733(_init_module_attrs)
    106    0.0000  <frozen importlib._bootstrap>:232(__init__)
     28    0.0000  __init__.py:298(__init__)
     58    0.0000  <frozen importlib._bootstrap>:911(_load_unlocked)
      1    0.0000  window_sdl2.py:893(request_keyboard)
    983    0.0000  factory.py:139(__getattr__)
     40    0.0000  _parser.py:452(_parse_sub)
    920    0.0000  retaintouch.py:36(process)
     64    0.0000  home_widgets.py:287(_update_bg)
      8    0.0000  home_widgets.py:261(__init__)
     27    0.0000  {method 'strftime' of 'datetime.date' objects}
   1162    0.0000  encoder.py:278(_iterencode_list)
     48    0.0000  widget.py:697(remove_widget)
      6    0.0000  containers.py:133(__init__)
    170    0.0000  textinput.py:2091(_get_text_width)
    364    0.0000  enum.py:850(__setattr__)
     43    0.0000  __init__.py:280(_compile)
    339    0.0000  __init__.py:1521(on_flip)
   1196    0.0000  cp1252.py:18(encode)
    105    0.0000  <frozen importlib._bootstrap_external>:1491(_get_spec)
      6    0.0000  scrollview.py:529(__init__)
     69    0.0000  motionevent.py:445(scale_for_screen)
    920    0.0000  calibration.py:144(process)
     24    0.0000  textinput.py:2284(_update_graphics)
      6    0.0000  bars.py:23(__init__)
    100    0.0000  textinput.py:2650(_get_cursor_visual_pos)
    920    0.0000  wm_common.py:73(<lambda>)
    341    0.0000  widget.py:402(apply_class_lang_rules)
    108    0.0000  <frozen importlib._bootstrap>:372(release)
     40    0.0000  textinput.py:2364(_draw_line)
   1092    0.0000  {built-in method _weakref.proxy}
      4    0.0000  {built-in method _imp.exec_dynamic}
    814    0.0000  {method 'pop' of 'list' objects}
   1198    0.0000  encoder.py:414(_iterencode)
     95    0.0000  <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      6    0.0000  bars.py:63(__init__)
   1565    0.0000  {method 'get' of 'mappingproxy' objects}
    920    0.0000  dejitter.py:48(process)
    180    0.0000  <frozen importlib._bootstrap_external>:132(_path_split)
   1067    0.0000  {method 'values' of 'collections.OrderedDict' objects}
     52    0.0000  <frozen importlib._bootstrap_external>:989(exec_module)
     10    0.0000  motionevent.py:200(__init__)
     69    0.0000  __init__.py:1620(transform_motion_event_2d)
      1    0.0000  {built-in method PIL._imaging.fill}
     67    0.0000  _compiler.py:386(_mk_bitmap)
     53    0.0000  buttons.py:69(_update)
     52    0.0000  __init__.py:713(_set_filename)
    300    0.0000  gridlayout.py:518(_iterate_layout)
    726    0.0000  widget.py:1271(get_center_y)
   1196    0.0000  {built-in method _codecs.charmap_encode}
     76    0.0000  scrollview.py:639(_update_effect_y)
     46    0.0000  layout.py:99(remove_widget)
    336    0.0000  _parser.py:265(getwhile)
    101    0.0000  dampedscroll.py:110(apply_distance)
    562    0.0000  {method 'rfind' of 'str' objects}
     95    0.0000  buttons.py:85(update_bg_color)
    114    0.0000  motionevent.py:515(apply_transform_2d)
      1    0.0000  XVThumbImagePlugin.py:1(<module>)
      6    0.0000  typing.py:2800(__new__)
      3    0.0000  fields.py:273(__init__)
